dataset,backbone,model,lambda_dp,lambda_eo,AUC_mean,AUC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
german,gcn,edge_adder,0.5,0.0,0.6798476190476191,0.11964817115893583,0.7613307888694852,0.06722207695664387,0.20384615384615387,0.10733638412834039,0.15231092436974789,0.08265812300712376
german,gcn,edge_adder,1.0,0.0,0.7339657142857142,0.0057780367637751675,0.7585999757569646,0.05502367826786875,0.20002727768685213,0.04981200645688038,0.13581932773109245,0.06148691676156583
german,gcn,edge_adder,5.0,0.0,0.6924647619047619,0.0740202549714046,0.7094542771741746,0.08605308082420499,0.0879569012547736,0.0418374917897499,0.03939075630252101,0.027804405573250996
german,gcn,edge_adder,10.0,0.0,0.7189333333333334,0.0084903680253773,0.7527364758510648,0.07845518616171422,0.08105564648117843,0.029325673298697452,0.021848739495798308,0.01289751720854692
german,gin,vanilla,0.0,0.0,0.6934247619047619,0.011933179948088833,0.7161481600062661,0.13617991839848903,0.16687124931805783,0.10431970105333922,0.14705882352941177,0.10152516061259204
german,gin,edge_adder,0.0,0.1,0.6549638095238095,0.04544250895312284,0.6383126882968335,0.2025117649733165,0.20482815057283146,0.14044897668744633,0.1769957983193277,0.13982055223212111
german,gin,edge_adder,0.0,0.5,0.6818285714285715,0.021405266480625188,0.6365198709822159,0.15735185370856553,0.1775368248772504,0.11140926716144646,0.15409663865546216,0.12460839193936
german,gin,edge_adder,0.0,1.0,0.6612266666666666,0.06763524484747746,0.6408443468315473,0.228920195726151,0.11861702127659576,0.08505955323464348,0.09212184873949579,0.06780224188521118
german,gin,edge_adder,0.0,5.0,0.6562590476190476,0.04769970707801883,0.6749876846649803,0.11937845124141985,0.10908346972176759,0.10219760755015805,0.11113445378151261,0.09322477512131495
german,gin,edge_adder,0.0,10.0,0.6596876190476191,0.01739567897972171,0.5593183091717228,0.20261365500715373,0.09624931805782869,0.08164913979004258,0.08960084033613447,0.07892011616975383
german,gin,edge_adder,0.1,0.0,0.6466209523809523,0.08985284344320957,0.5952112572392526,0.2511543304288799,0.16824877250409162,0.12356684056471996,0.15126050420168063,0.11117793148045806
german,gin,edge_adder,0.5,0.0,0.6666285714285713,0.04027808280750866,0.7199263690557636,0.14272913850135688,0.1872749590834697,0.10212223613234626,0.1570378151260504,0.10379963821235617
german,gin,edge_adder,1.0,0.0,0.6744761904761906,0.043407985095694414,0.7116479617809055,0.15881340076201636,0.19629023458810696,0.1042652748151778,0.1699579831932773,0.09478119931314687
german,gin,edge_adder,5.0,0.0,0.6710171428571429,0.02618453847843798,0.5322535653149618,0.30836912351728596,0.09169394435351881,0.07021318587784671,0.06838235294117648,0.05497512212519309
german,gin,edge_adder,10.0,0.0,0.6751085714285715,0.02494397066552075,0.599483879535837,0.2492916151959024,0.07594108019639935,0.04924135512394607,0.05315126050420169,0.05155241309398079
german,sage,vanilla,0.0,0.0,0.6087390476190476,0.0676800223004847,0.4379364452954878,0.2757877126196538,0.078696126568467,0.09949042221220705,0.07121848739495798,0.08313038748467898
german,sage,edge_adder,0.0,0.1,0.5998476190476191,0.06473024660386228,0.5371459134588042,0.3075619309540078,0.14845881069285324,0.15231494021957603,0.15210084033613444,0.1470121474545145
german,sage,edge_adder,0.0,0.5,0.5849447619047619,0.05844704668512477,0.5690395939942946,0.2907478929691031,0.06891707583196945,0.0680740635431981,0.06407563025210086,0.08357015052404584
german,sage,edge_adder,0.0,1.0,0.6180800000000002,0.05657674164564528,0.6389899136900816,0.20379235623039832,0.14534915439170762,0.10807881234710807,0.13686974789915968,0.10200337058322265
german,sage,edge_adder,0.0,5.0,0.62672,0.058168402827723786,0.5901962343479983,0.274112555058679,0.08919803600654663,0.09156223989798754,0.07794117647058826,0.07121476899640718
